"","n_rep","mc_capacity","n_species","n_patch","p_branch","min_env","max_env","rho","min_optim","max_optim","sd_env_net","theta","K_type","K0","sd_env","spatial_env_cor","phi","min_niche_width","max_niche_width","niche_cost","p_dispersal","min_alpha","max_alpha","alpha_div","beta_div","gamma_div"
"120",20,102670.958816838,30,100,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.64039,18.35961,29
"121",1,102301.89518017,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.8521,17.1479,27
"122",2,137025.13379931,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.2223272727273,15.7776727272727,26
"123",3,170487.68828117,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.51402727272727,18.9769727272727,28.491
"124",4,142633.669937125,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.071,6.866,14.937
"125",5,189749.4178004,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.8298272727273,12.9341727272727,23.764
"126",6,112279.986587275,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.0283181818182,12.9716818181818,24
"127",7,171295.443919929,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.83022727272727,10.5907727272727,20.421
"128",8,127648.424502356,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.4509363636364,14.0810636363636,24.532
"129",9,138276.577268701,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.5302909090909,16.4697090909091,28
"130",10,120108.206798008,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.0092272727273,15.9907727272727,27
"131",11,202069.813461237,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.4243090909091,12.8476909090909,23.272
"132",12,131958.14598792,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.9956636363636,17.0083363636364,28.004
"133",13,169897.162634519,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.1549636363636,6.39903636363636,16.554
"134",14,116742.660853396,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,8.13171818181818,15.2962818181818,23.428
"135",15,160102.645263764,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.3444,17.6556,29
"136",16,161105.542884536,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.1174363636364,14.8825636363636,26
"137",17,166045.615749505,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,10.5503727272727,18.5186272727273,29.069
"138",18,137952.552322203,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.62825454545455,14.3717454545455,24
"139",19,166545.325230328,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.5400454545455,15.8179545454545,27.358
"140",20,161812.126426,30,110,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.1634454545455,16.8365545454545,28
"141",1,126295.722791664,30,120,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.96049166666667,18.0395083333333,28
"142",2,115651.416263472,30,120,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,12.0727916666667,15.9272083333333,28
"143",3,194347.169353742,30,120,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,11.8673,11.2477,23.115
"144",4,173965.352785188,30,120,0.1,-1,1,1,-1,1,0.05,1,"variable",100,0.1,TRUE,0.05,0.1,1,1,0.01,0,0.5,9.96029166666667,15.0517083333333,25.012
