"","n_rep","n_patch","p_branch","min_env","max_env","rho","min_optim","max_optim","sd_env_net","theta","sd_env","phi","sd_niche_width","niche_cost","p_dispersal","min_alpha","max_alpha","alpha_div","beta_div","gamma_div"
"96",96,89,0.211523828469217,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.2205842696629,12.7794157303371,26
"97",97,65,0.789961995556951,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.6482615384615,9.35173846153846,23
"98",98,101,0.788511705584824,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,15.3465544554455,7.96344554455445,23.31
"99",99,149,0.835029182583094,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.7533422818792,12.2466577181208,26
"100",100,143,0.89432208109647,-1,1,1,-1,1,0.1,1,0.1,0.05,0.5,5,0.01,0,0.75,13.1386433566434,14.0743566433566,27.213
"101",1,128,0.541353739798069,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,16.523828125,9.736171875,26.26
"102",2,136,0.563122491538525,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.1713014705882,11.8286985294118,29
"103",3,63,0.200040109455585,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,16.2106031746032,10.4503968253968,26.661
"104",4,82,0.381890152208507,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,13.7215731707317,6.01842682926829,19.74
"105",5,94,0.642048533447087,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,16.6296276595745,9.39437234042553,26.024
"106",6,122,0.139903914369643,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,13.9593442622951,9.17165573770492,23.131
"107",7,108,0.30653566159308,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,13.49675,12.06925,25.566
"108",8,64,0.469400291703641,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.15753125,9.84246875,27
"109",9,71,0.512432973459363,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,14.2473943661972,8.75260563380282,23
