SiteID,VisitID,Year,OTU,Abundance,Sample_area,Source,Lon,Lat,n_obs,Presence
st00687,st00687-1992,1992,PLECOGLOSSUS_ALTIVELIS_ALTIVELIS,7,NA,hfish_HSGK,140.581,42.744,1,1
st00687,st00687-1992,1992,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,1,NA,hfish_HSGK,140.581,42.744,1,1
st00687,st00687-1992,1992,TRIBOLODON_SPP,39,NA,hfish_HSGK,140.581,42.744,1,1
st00688,st00688-1998,1998,NOEMACHEILUS_BARBATULUS,29,NA,hfish_HSGK,140.582,42.743,3,1
st00688,st00688-1998,1998,ONCORHYNCHUS_MASOU_MASOU,192,NA,hfish_HSGK,140.582,42.743,3,1
st00688,st00688-1998,1998,TRIBOLODON_SPP,32,NA,hfish_HSGK,140.582,42.743,3,1
st00689,st00689-1999,1999,NOEMACHEILUS_BARBATULUS,5,NA,hfish_HSGK,140.583,42.665,1,1
st00689,st00689-1999,1999,ONCORHYNCHUS_MASOU_MASOU,8,NA,hfish_HSGK,140.583,42.665,1,1
st00689,st00689-1999,1999,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,2,NA,hfish_HSGK,140.583,42.665,1,1
st00689,st00689-1999,1999,TRIBOLODON_SPP,30,NA,hfish_HSGK,140.583,42.665,1,1
st00690,st00690-2002,2002,NOEMACHEILUS_BARBATULUS,9,NA,hfish_HSGK,140.583,42.748,1,1
st00690,st00690-2002,2002,ONCORHYNCHUS_MASOU_MASOU,120,NA,hfish_HSGK,140.583,42.748,1,1
st00690,st00690-2002,2002,TRIBOLODON_SPP,1,NA,hfish_HSGK,140.583,42.748,1,1
st00691,st00691-1998,1998,GYMNOGOBIUS_UROTAENIA,1,NA,hfish_HSGK,140.583,42.805,1,1
st00691,st00691-1998,1998,NOEMACHEILUS_BARBATULUS,86,NA,hfish_HSGK,140.583,42.805,1,1
st00691,st00691-1998,1998,ONCORHYNCHUS_MASOU_MASOU,120,NA,hfish_HSGK,140.583,42.805,1,1
st00691,st00691-1998,1998,TRIBOLODON_SPP,35,NA,hfish_HSGK,140.583,42.805,1,1
st00692,st00692-1990,1990,ONCORHYNCHUS_MASOU_MASOU,8,NA,hfish_HSGK,140.584,42.81,1,1
st00692,st00692-1990,1990,ONCORHYNCHUS_MYKISS,4,NA,hfish_HSGK,140.584,42.81,1,1
st00692,st00692-1990,1990,TRIBOLODON_SPP,95,NA,hfish_HSGK,140.584,42.81,1,1
st00693,st00693-1995,1995,CARASSIUS_SP,8,NA,hfish_HSGK,140.584,43.001,1,1
st00693,st00693-1995,1995,GYMNOGOBIUS_UROTAENIA,4,NA,hfish_HSGK,140.584,43.001,1,1
st00693,st00693-1995,1995,ONCORHYNCHUS_MYKISS,1,NA,hfish_HSGK,140.584,43.001,1,1
st00693,st00693-1995,1995,PLECOGLOSSUS_ALTIVELIS_ALTIVELIS,8,NA,hfish_HSGK,140.584,43.001,1,1
st00693,st00693-1995,1995,RHINOGOBIUS_SPP,47,NA,hfish_HSGK,140.584,43.001,1,1
st00693,st00693-1995,1995,TRIBOLODON_SPP,27,NA,hfish_HSGK,140.584,43.001,1,1
st00694,st00694-1988,1988,COTTUS_NOZAWAE,NA,NA,hfish_HSGK,140.584,43.146,1,1
st00694,st00694-1988,1988,NOEMACHEILUS_BARBATULUS,NA,NA,hfish_HSGK,140.584,43.146,1,1
st00694,st00694-1988,1988,ONCORHYNCHUS_MASOU_MASOU,NA,NA,hfish_HSGK,140.584,43.146,1,1
st00695,st00695-1991,1991,NOEMACHEILUS_BARBATULUS,3,NA,hfish_HSGK,140.585,42.807,2,1
st00695,st00695-1991,1991,ONCORHYNCHUS_MASOU_MASOU,1,NA,hfish_HSGK,140.585,42.807,2,1
st00695,st00695-1991,1991,TRIBOLODON_SPP,61,NA,hfish_HSGK,140.585,42.807,2,1
st00696,st00696-1994,1994,COTTUS_AMBLYSTOMOPSIS,9,NA,hfish_HSGK,140.586,41.775,1,1
st00696,st00696-1994,1994,COTTUS_HANGIONGENSIS,32,NA,hfish_HSGK,140.586,41.775,1,1
st00696,st00696-1994,1994,GYMNOGOBIUS_UROTAENIA,67,NA,hfish_HSGK,140.586,41.775,1,1
st00696,st00696-1994,1994,ONCORHYNCHUS_KETA,12,NA,hfish_HSGK,140.586,41.775,1,1
st00696,st00696-1994,1994,ONCORHYNCHUS_MASOU_MASOU,14,NA,hfish_HSGK,140.586,41.775,1,1
st00696,st00696-1994,1994,RHINOGOBIUS_SPP,7,NA,hfish_HSGK,140.586,41.775,1,1
st00696,st00696-1994,1994,TRIBOLODON_SPP,23,NA,hfish_HSGK,140.586,41.775,1,1
st00697,st00697-2002,2002,LETHENTERON_SPP,2,NA,hfish_HSGK,140.586,42.808,3,1
st00697,st00697-2002,2002,NOEMACHEILUS_BARBATULUS,30,NA,hfish_HSGK,140.586,42.808,3,1
st00697,st00697-2002,2002,ONCORHYNCHUS_MASOU_MASOU,69,NA,hfish_HSGK,140.586,42.808,3,1
st00697,st00697-2002,2002,ONCORHYNCHUS_MYKISS,2,NA,hfish_HSGK,140.586,42.808,3,1
st00697,st00697-2002,2002,TRIBOLODON_SPP,20,NA,hfish_HSGK,140.586,42.808,3,1
st00698,st00698-1992,1992,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,13,NA,hfish_HSGK,140.588,41.996,1,1
st00699,st00699-1990,1990,ONCORHYNCHUS_MASOU_MASOU,1,NA,hfish_HSGK,140.589,41.918,1,1
st00699,st00699-1990,1990,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,5,NA,hfish_HSGK,140.589,41.918,1,1
st00700,st00700-1992,1992,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,6,NA,hfish_HSGK,140.589,41.995,1,1
st00701,st00701-1998,1998,LETHENTERON_SPP,13,NA,hfish_HSGK,140.589,42.764,2,1
st00701,st00701-1998,1998,NOEMACHEILUS_BARBATULUS,25,NA,hfish_HSGK,140.589,42.764,2,1
st00701,st00701-1998,1998,ONCORHYNCHUS_MASOU_MASOU,286,NA,hfish_HSGK,140.589,42.764,2,1
st00701,st00701-1998,1998,ONCORHYNCHUS_MYKISS,1,NA,hfish_HSGK,140.589,42.764,2,1
st00701,st00701-1998,1998,TRIBOLODON_SPP,38,NA,hfish_HSGK,140.589,42.764,2,1
st00702,st00702-1997,1997,LETHENTERON_SPP,1,NA,hfish_HSGK,140.589,42.765,1,1
st00702,st00702-1997,1997,NOEMACHEILUS_BARBATULUS,2,NA,hfish_HSGK,140.589,42.765,1,1
st00702,st00702-1997,1997,ONCORHYNCHUS_KETA,1,NA,hfish_HSGK,140.589,42.765,1,1
st00702,st00702-1997,1997,ONCORHYNCHUS_MASOU_MASOU,11,NA,hfish_HSGK,140.589,42.765,1,1
st00702,st00702-1997,1997,TRIBOLODON_SPP,4,NA,hfish_HSGK,140.589,42.765,1,1
st00703,st00703-1999,1999,NOEMACHEILUS_BARBATULUS,14,NA,hfish_HSGK,140.59,42.766,1,1
st00703,st00703-1999,1999,ONCORHYNCHUS_MASOU_MASOU,92,NA,hfish_HSGK,140.59,42.766,1,1
st00703,st00703-1999,1999,ONCORHYNCHUS_MYKISS,1,NA,hfish_HSGK,140.59,42.766,1,1
st00703,st00703-1999,1999,SALMO_TRUTTA,2,NA,hfish_HSGK,140.59,42.766,1,1
st00703,st00703-1999,1999,TRIBOLODON_SPP,2,NA,hfish_HSGK,140.59,42.766,1,1
st00704,st00704-1999,1999,COTTUS_NOZAWAE,2,NA,hfish_HSGK,140.591,42.672,1,1
st00704,st00704-1999,1999,NOEMACHEILUS_BARBATULUS,1,NA,hfish_HSGK,140.591,42.672,1,1
st00704,st00704-1999,1999,ONCORHYNCHUS_MASOU_MASOU,3,NA,hfish_HSGK,140.591,42.672,1,1
st00704,st00704-1999,1999,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,2,NA,hfish_HSGK,140.591,42.672,1,1
st00705,st00705-1999,1999,COTTUS_NOZAWAE,2,NA,hfish_HSGK,140.591,42.708,1,1
st00705,st00705-1999,1999,ONCORHYNCHUS_MASOU_MASOU,16,NA,hfish_HSGK,140.591,42.708,1,1
st00705,st00705-1999,1999,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,9,NA,hfish_HSGK,140.591,42.708,1,1
st00706,st00706-1994,1994,SALVELINUS_LEUCOMAENIS_LEUCOMAENIS,1,NA,hfish_HSGK,140.591,42.767,2,1
